% Model:              steadyNS.mph
% Version:            COMSOL 5.6.0.341
% Date:               Mar 15 2022, 22:02
% Dimension:          2
% Nodes:              2601
% Expressions:        3
% Description:        速度场，x 分量, 速度场，y 分量, 压力
% Length unit:        null
% x                       y                        u                        v                        p
0.02000000000000841       0.16000000000000006      -0.01084382582690188     0.05732445371703492      0.4941891243346407
0.16000000000000858       0                        0                        0                        0.5007618988209757
0.1600000000000084        0.0200000000000016       -0.021205183680397404    0.0011851654696697867    0.5008381261956601
0                         0.17999999999999985      0                        0                        0.4866096510354149
0.02000000000000821       0.18000000000000002      0.08520449453185931      0.026147556462608        0.48983545118759475
0.18000000000000838       0                        0                        0                        0.5009549936259483
0.1800000000000082        0.020000000000001798     -0.02312655694657515     9.629134066462098E-4     0.501016459311417
0                         0.2                      0.5                      0                        0.48606861294615367
0.02000000000000801       0.20000000000000018      0.49603457117652655      -0.0033751834431877373   0.48989051936535016
0.20000000000000817       0                        0                        0                        0.5011791602042737
0.200000000000008         0.020000000000001995     -0.024654925820739877    7.518102026548412E-4     0.5012268232641816
0                         0.22                     1                        0                        0.4798066219792303
0.02000000000000781       0.22000000000000014      0.9656342982714481       0.017143800243009592     0.4872801692570846
0.22000000000000797       0                        0                        0                        0.5014293416275206
0.22000000000000774       0.020000000000002197     -0.025817627630422415    5.577155119430351E-4     0.5014644734624827
0                         0.24000000000000005      1                        0                        0.45739319186786476
0.02000000000000761       0.2400000000000002       1.0046276667786729       0.03135706528434598      0.45630203440969325
0.24000000000000776       0                        0                        0                        0.5017000934741066
0.2400000000000076        0.020000000000002398     -0.026650813787965667    3.851682055904461E-4     0.5017241790171794
0                         0.26000000000000006      1                        0                        0.4262465449770029
0.020000000000007408      0.26000000000000023      0.9991256389839371       0.030033451135908523     0.4265930602709379
0.26000000000000756       0                        0                        0                        0.5019860833340144
0.2600000000000074        0.0200000000000026       -0.027196494867167444    2.3681662410325686E-4    0.5020007101176095
0                         0.28                     1                        0                        0.39580197291640784
0.020000000000007206      0.2800000000000001       0.9996440582381783       0.030972568293904535     0.3961246971058056
0.28000000000000735       0                        0                        0                        0.5022824995586946
0.2800000000000072        0.020000000000002793     -0.02749906536262547     1.1325844912439076E-4    0.5022892434317079
0                         0.3000000000000001       1                        0                        0.36436467343422646
0.02000000000000701       0.3000000000000002       0.9995212655480674       0.031911950460025956     0.3647595844586951
0.30000000000000715       0                        0                        0                        0.5025853154274418
0.300000000000007         0.020000000000002995     -0.027601876666926876    1.3193637150438664E-5    0.5025856372991389
0                         0.3200000000000001       1                        0                        0.331925443628068
0.020000000000006807      0.3200000000000002       0.9994939566680267       0.03296826824060217      0.33233723838549295
0.32000000000000695       0                        0                        0                        0.5028914047870984
0.32000000000000683       0.0200000000000032       -0.027544280235344124    -6.622243552072477E-5    0.5028865682842535
0                         0.34000000000000014      1                        0                        0.2983701372001411
0.020000000000006606      0.3400000000000002       0.9994523917943926       0.03411732759694209      0.2988146369297346
0.34000000000000674       0                        0                        0                        0.5031985282250151
0.3400000000000066        0.0200000000000034       -0.027359388438256645    -1.2892458780950435E-4   0.5031895433076168
0                         0.36000000000000015      1                        0                        0.26362173689717355
0.02000000000000641       0.3600000000000002       0.9994109529768316       0.035353326971183006     0.2640997990911939
0.36000000000000654       0                        0                        0                        0.5035052197673562
0.3600000000000064        0.020000000000003598     -0.02707265206361381     -1.7946061984848487E-4   0.5034928132571946
0                         0.38000000000000017      1                        0                        0.22759029947446696
0.020000000000006207      0.3800000000000002       0.999370787155386        0.036682282176290354     0.22810258750914153
0.38000000000000633       0                        0                        0                        0.5038106068354367
0.38000000000000633       0.0200000000000038       -0.02670124300607196     -2.2254484621752016E-4   0.5037952182322574
0                         0.4000000000000002       1                        0                        0.19017947376621192
0.020000000000006006      0.40000000000000024      0.9993105106060894       0.03810753811877532      0.19073108723481735
0.40000000000000613       0                        0                        0                        0.5041141936752964
0.400000000000006         0.020000000000004        -0.026254160520659924    -2.626728293995997E-4    0.5040959931130574
0                         0.42000000000000026      1                        0                        0.15130201363056342
0.020000000000005805      0.42000000000000043      0.9993481512045901       0.03962424636239684      0.1518823050319914
0.4200000000000059        0                        0                        0                        0.5044156331829746
0.4200000000000058        0.020000000000004202     -0.025732945477690422    -3.038075315115598E-4    0.5043945577480846
0                         0.4400000000000003       1                        0                        0.11071052696099555
0.020000000000005607      0.44000000000000045      0.998803589811358        0.04122060627267257      0.11151534181914789
0.4400000000000057        0                        0                        0                        0.5047145064353642
0.4400000000000056        0.0200000000000044       -0.02513288122593323     -3.491330941890799E-4    0.5046903110007552
0                         0.4600000000000003       1                        0                        0.06835863725174524
0.020000000000005406      0.4600000000000004       1.000959704695974        0.04198538987010309      0.06926953915160104
0.4600000000000055        0                        0                        0                        0.5050101250348917
0.4600000000000054        0.0200000000000046       -0.02444456955522826     -4.00867150970552E-4     0.5049824439066408
0                         0.4800000000000003       1                        0                        0.015462361104196328
0.020000000000005208      0.4800000000000005       0.9712666652246782       0.04999712037516466      0.025706554858404614
0.4800000000000053        0                        0                        0                        0.505301369172254
0.4800000000000052        0.020000000000004795     -0.02365578230187376     -4.601251932031807E-4    0.5052697848762395
0                         0.5                      0.5                      0                        -0.020481487518293214
0.020000000000005007      0.5                      0.5215451095016933       0.04653463030008288      -0.015576785975937634
